[9/7/23, 8:51:45 AM] Yara: ‎Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them.
‎[9/7/23, 8:51:45 AM] Yara: ‎image omitted
[6/15/24, 4:37:18 PM] Yara: Por algo se llama para ti
[6/15/24, 4:37:23 PM] Yara: Y es un algoritmo
[6/15/24, 4:37:52 PM] Ismael: gracias por explicarme yarilin no sabía
[6/15/24, 4:37:54 PM] Ismael: te amo
‎[6/15/24, 4:38:01 PM] Ismael: ‎sticker omitted
[6/15/24, 4:38:12 PM] Yara: Que harías sin mi
[6/15/24, 4:38:15 PM] Yara: Bye
‎[6/15/24, 4:38:20 PM] Yara: ‎sticker omitted
[6/15/24, 4:38:25 PM] Ismael: Nadota
[6/15/24, 4:38:31 PM] Ismael: oooookeeeeeey
[6/15/24, 4:38:46 PM] Yara: Si te pareces
‎[6/15/24, 4:38:51 PM] Yara: ‎sticker omitted
[6/15/24, 4:39:06 PM] Ismael: soy ese yarilin
[6/15/24, 4:39:07 PM] Yara: Mi li mindi il cisir
[6/15/24, 4:39:15 PM] Ismael: no
[6/15/24, 4:39:19 PM] Yara: OKKKKK
[6/15/24, 4:39:20 PM] Ismael: Ese no me lo mandó el César
[6/15/24, 4:39:31 PM] Yara: Entonces quien
‎[6/15/24, 4:39:38 PM] Ismael: ‎image omitted
‎[6/15/24, 4:39:47 PM] Ismael: ‎sticker omitted
[6/15/24, 4:40:15 PM] Ismael: te tengo que explicar quien me envía cada sticker ?
[6/15/24, 4:40:16 PM] Yara: Gracias mami
‎[6/15/24, 4:40:18 PM] Ismael: ‎sticker omitted
‎[6/15/24, 4:40:17 PM] Yara: ‎sticker omitted
[6/15/24, 4:40:26 PM] Yara: Que cute
[6/15/24, 4:40:29 PM] Yara: Ok
[6/15/24, 4:40:36 PM] Yara: Asi te voy a decir yo
[6/15/24, 4:40:39 PM] Ismael: Mmmmmmmm
[6/15/24, 4:40:45 PM] Ismael: yo no te pregunté por este
‎[6/15/24, 4:40:48 PM] Ismael: ‎sticker omitted
[6/15/24, 4:40:51 PM] Ismael: ni este
‎[6/15/24, 4:41:01 PM] Ismael: ‎sticker omitted
‎[6/15/24, 4:41:05 PM] Ismael: ‎sticker omitted
[6/15/24, 4:41:05 PM] Yara: A ver y este
‎[6/15/24, 4:41:06 PM] Yara: ‎sticker omitted
[6/15/24, 4:41:10 PM] Ismael: pues este ya se
[6/15/24, 4:41:19 PM] Ismael: adiós
[6/15/24, 4:41:25 PM] Yara: OKKKK
[6/15/24, 4:41:33 PM] Ismael: TU ME LO ENVIASTE A MI
[6/15/24, 4:41:35 PM] Ismael: yo a ti no
[6/15/24, 4:41:35 PM] Yara: ese lo saque de ti
[6/15/24, 4:41:44 PM] Ismael: No es cierto
[6/15/24, 4:41:50 PM] Yara: Pues si tu se lo mandabas a la niña esa
[6/15/24, 4:42:00 PM] Ismael: No es ciertooo
[6/15/24, 4:41:58 PM] Yara: NOOO que si noooo
[6/15/24, 4:42:06 PM] Ismael: No me acuerdo
[6/15/24, 4:42:05 PM] Yara: BYE
[6/15/24, 4:42:10 PM] Yara: Dios
[6/15/24, 4:42:19 PM] Ismael: pero pues ya no
[6/15/24, 4:42:21 PM] Ismael: en cambio
[6/15/24, 4:42:25 PM] Ismael: tú se lo sigues mandando al ángel
[6/15/24, 4:42:24 PM] Yara: Revisa tus archivados
[6/15/24, 4:42:28 PM] Ismael: quien está peor
[6/15/24, 4:42:30 PM] Yara: Una vez, UNA
[6/15/24, 4:42:35 PM] Yara: tu cuantas no se lo mandaste
‎[6/15/24, 4:42:42 PM] Yara: ‎sticker omitted
[6/15/24, 4:42:43 PM] Yara: Bye
[6/15/24, 4:42:45 PM] Ismael: por favor yarilin
[6/15/24, 4:42:50 PM] Ismael: hace muuuuuucho
[6/15/24, 4:42:51 PM] Yara: Duérmete
[6/15/24, 4:42:58 PM] Ismael: actualmente
[6/15/24, 4:42:58 PM] Ismael: no
[6/15/24, 4:43:02 PM] Ismael: ni
[6/15/24, 4:43:03 PM] Ismael: un
[6/15/24, 4:43:04 PM] Ismael: hola
[6/15/24, 4:43:06 PM] Ismael: y tu
[6/15/24, 4:43:08 PM] Ismael: te pone
[6/15/24, 4:43:10 PM] Ismael: MUA
[6/15/24, 4:43:09 PM] Yara: Asco
[6/15/24, 4:43:12 PM] Ismael: Y TU
[6/15/24, 4:43:14 PM] Yara: Aja
‎[6/15/24, 4:43:17 PM] Ismael: ‎sticker omitted
[6/15/24, 4:43:20 PM] Ismael: que es eso
[6/15/24, 4:43:23 PM] Ismael: QUE ES ESO
[6/15/24, 4:43:31 PM] Ismael: adiós.
[6/15/24, 4:43:35 PM] Ismael: ya me enojé
‎[6/15/24, 4:43:39 PM] Yara: ‎sticker omitted
[6/15/24, 4:43:48 PM] Ismael: y ese que
[6/15/24, 4:43:57 PM] Ismael: cuántas veces se lo han enviado tú y el ángel?
[6/15/24, 4:44:13 PM] Yara: Yo a él? Ninguna
[6/15/24, 4:44:16 PM] Yara: Bye
[6/15/24, 4:44:37 PM] Ismael: Bye.
‎[6/15/24, 4:46:52 PM] Yara: ‎image omitted
[6/15/24, 4:47:08 PM] Ismael: hola
[6/15/24, 4:47:10 PM] Ismael: te amo
[6/15/24, 4:47:12 PM] Ismael: pero me enojé
[6/15/24, 4:47:15 PM] Ismael: luego hablamos
[6/15/24, 4:47:17 PM] Ismael: te amo
[6/15/24, 4:47:20 PM] Yara: Que
[6/15/24, 4:47:22 PM] Yara: Que
[6/15/24, 4:47:23 PM] Yara: Que
[6/15/24, 4:47:24 PM] Yara: Que
[6/15/24, 4:47:24 PM] Yara: Que
[6/15/24, 4:47:25 PM] Yara: Que
[6/15/24, 4:47:27 PM] Yara: Que
[6/15/24, 4:47:30 PM] Yara: Que
[6/15/24, 4:47:32 PM] Ismael: tengo algo importante que decirte
[6/15/24, 4:47:40 PM] Yara: Si
[6/15/24, 4:47:46 PM] Ismael: después
[6/15/24, 4:47:53 PM] Yara: Ok
[6/15/24, 4:47:55 PM] Yara: Ok
[6/15/24, 4:47:56 PM] Yara: O
[6/15/24, 4:47:58 PM] Yara: K
[6/15/24, 4:47:59 PM] Yara: Ok
[6/15/24, 4:48:01 PM] Yara: Ok
[6/15/24, 4:48:02 PM] Yara: Ok
[6/15/24, 4:48:03 PM] Ismael: O
[6/15/24, 4:48:03 PM] Yara: Ok
[6/15/24, 4:48:04 PM] Yara: Ok
[6/15/24, 4:48:07 PM] Yara: O
[6/15/24, 4:48:08 PM] Yara: K
‎[6/15/24, 4:48:11 PM] Ismael: ‎image omitted
[6/15/24, 4:48:20 PM] Ismael: me salieron puras Takis
‎[6/15/24, 4:48:23 PM] Ismael: ‎sticker omitted
[6/15/24, 4:48:24 PM] Yara: Que es esoooooo
[6/15/24, 4:48:30 PM] Yara: Por que son naranjas
[6/15/24, 4:48:40 PM] Ismael: así son de las big mix
[6/15/24, 4:48:43 PM] Ismael: muy buenas
[6/15/24, 4:48:43 PM] Yara: Que estas haciendo en la compu
[6/15/24, 4:48:50 PM] Ismael: estaba
[6/15/24, 4:48:56 PM] Ismael: la foto la tomé hace rato
[6/15/24, 4:49:07 PM] Ismael: me acosté
‎[6/15/24, 4:49:10 PM] Yara: ‎sticker omitted
[6/15/24, 4:49:17 PM] Yara: Muy bien
[6/15/24, 4:49:22 PM] Ismael: Y no puedo usar la compu o que
‎[6/15/24, 4:49:26 PM] Ismael: ‎sticker omitted
[6/15/24, 4:49:29 PM] Yara: No
[6/15/24, 4:49:35 PM] Ismael: Oki
[6/15/24, 4:49:36 PM] Yara: Ya no puedes hacer nada
[6/15/24, 4:49:37 PM] Ismael: ahorita la tiro
[6/15/24, 4:49:39 PM] Ismael: por ti
[6/15/24, 4:49:40 PM] Ismael: te amo
[6/15/24, 4:49:43 PM] Yara: No tienes derechos
[6/15/24, 4:49:47 PM] Yara: Va
[6/15/24, 4:49:49 PM] Yara: Te amo
‎[6/15/24, 4:49:52 PM] Ismael: ‎sticker omitted
[6/15/24, 4:49:56 PM] Ismael: y este?
[6/15/24, 4:50:00 PM] Ismael: quien te lo envío?
[6/15/24, 4:50:04 PM] Yara: Tuuuuuuuuuuuuu
[6/15/24, 4:50:09 PM] Ismael: yo no
[6/15/24, 4:50:15 PM] Ismael: Aaaah
[6/15/24, 4:50:17 PM] Ismael: si fui yo
[6/15/24, 4:50:16 PM] Yara: Sabrá dios a quien se lo mandarías
[6/15/24, 4:50:19 PM] Ismael: te amo mua
[6/15/24, 4:50:25 PM] Yara: Bye
‎[6/15/24, 4:50:38 PM] Ismael: ‎image omitted
[6/15/24, 4:50:43 PM] Ismael: de la florería
[6/15/24, 4:50:44 PM] Ismael: ash
[6/15/24, 4:51:02 PM] Ismael: perdón
[6/15/24, 4:51:04 PM] Ismael: te amo mua
‎[6/15/24, 4:51:07 PM] Yara: ‎sticker omitted
[6/15/24, 4:51:14 PM] Yara: Oye
[6/15/24, 4:51:17 PM] Yara: Oye
[6/15/24, 4:51:21 PM] Ismael: Mande
[6/15/24, 4:51:28 PM] Yara: Me gustas mucho
[6/15/24, 4:51:39 PM] Ismael: Oye
[6/15/24, 4:51:40 PM] Ismael: Oye
[6/15/24, 4:51:43 PM] Yara: Mande
[6/15/24, 4:51:50 PM] Ismael: Me gustas MUCHOTE
‎[6/15/24, 4:51:57 PM] Ismael: ‎sticker omitted
[6/15/24, 4:52:19 PM] Yara: Me quieres hacer competencia o que
‎[6/15/24, 4:52:21 PM] Yara: ‎sticker omitted
[6/15/24, 4:52:24 PM] Yara: Dime
[6/15/24, 4:52:48 PM] Ismael: mmmmmm
[6/15/24, 4:52:53 PM] Ismael: yo solo me estoy expresando
‎[6/15/24, 4:52:58 PM] Ismael: ‎sticker omitted
[6/15/24, 4:53:17 PM] Yara: No te ibas a ir a los chinos?
‎[6/15/24, 4:53:20 PM] Yara: ‎sticker omitted
[6/15/24, 4:53:27 PM] Ismael: en la noche
[6/15/24, 4:53:28 PM] Ismael: te dije
[6/15/24, 4:53:32 PM] Ismael: si me escucharas supieras
[6/15/24, 4:53:32 PM] Yara: A
[6/15/24, 4:53:40 PM] Yara: Si no te trabaras
[6/15/24, 4:53:46 PM] Ismael: mmmmm
[6/15/24, 4:53:48 PM] Yara: Te amo
[6/15/24, 4:53:56 PM] Ismael: Yo más
‎[6/15/24, 4:54:01 PM] Ismael: ‎sticker omitted
[6/15/24, 4:54:03 PM] Ismael: Mucho
[6/15/24, 4:54:07 PM] Ismael: Demasiado
‎[6/15/24, 4:54:13 PM] Yara: ‎sticker omitted
‎[6/15/24, 4:55:03 PM] Yara: ‎image omitted
[6/15/24, 4:55:20 PM] Ismael: un mañoso
[6/15/24, 4:55:28 PM] Yara: Tengo dos mañosos
[6/15/24, 4:55:35 PM] Ismael: yo también
[6/15/24, 4:55:37 PM] Ismael: copiona
‎[6/15/24, 4:55:37 PM] Yara: ‎sticker omitted
[6/15/24, 4:55:42 PM] Yara: Ya mejor los tiro
[6/15/24, 4:55:45 PM] Ismael: quieres ser como yo?
[6/15/24, 4:55:48 PM] Yara: Chi
[6/15/24, 4:55:50 PM] Ismael: okeeeeey
[6/15/24, 4:55:58 PM] Ismael: Mua
[6/15/24, 4:56:01 PM] Ismael: vamos a los chinos
[6/15/24, 4:56:12 PM] Yara: Te amo mi amor
‎[6/15/24, 4:57:02 PM] Yara: ‎sticker omitted
[6/15/24, 4:57:09 PM] Yara: Me comen
[6/15/24, 5:03:11 PM] Ismael: cómo te van a comer
‎[6/15/24, 5:03:16 PM] Ismael: ‎sticker omitted
[6/15/24, 5:03:27 PM] Ismael: Yo también
‎[6/15/24, 5:03:30 PM] Ismael: ‎sticker omitted
[6/15/24, 5:30:24 PM] Yara: Pues no vaya a ser
‎[6/15/24, 5:30:32 PM] Yara: ‎sticker omitted
[6/15/24, 5:30:36 PM] Yara: Ok
[6/15/24, 5:30:54 PM] Ismael: ay
[6/15/24, 5:31:05 PM] Ismael: yo taaaambien te amo muuuuuucho mi vidaaaaaaaaaa
‎[6/15/24, 5:31:08 PM] Ismael: ‎sticker omitted
[6/15/24, 5:31:21 PM] Ismael: estás hablando mal de mi rancho?
[6/15/24, 5:37:29 PM] Ismael: por qué no me contestas igual de rápido que yo?
‎[6/15/24, 5:37:33 PM] Ismael: ‎sticker omitted
[6/15/24, 5:38:10 PM] Yara: Obligado no vale
[6/15/24, 5:38:14 PM] Yara: Ño
[6/15/24, 5:38:18 PM] Yara: De ti si
[6/15/24, 5:38:27 PM] Yara: Perdón mi vida
‎[6/15/24, 5:38:28 PM] Yara: ‎sticker omitted
[6/15/24, 5:38:48 PM] Yara: Estaba hablando con la rose, me hizo eliminar a alguien de insta
[6/15/24, 5:39:29 PM] Ismael: no es obligado ratatopa
[6/15/24, 5:39:34 PM] Ismael: ok
[6/15/24, 5:39:39 PM] Ismael: ti perdono
[6/15/24, 5:39:47 PM] Ismael: a quien yarilin
[6/15/24, 5:40:37 PM] Yara: Pero si no te digo nada asi lo dejas
[6/15/24, 5:40:45 PM] Yara: Entonces si es obligado
[6/15/24, 5:41:01 PM] Yara: Un muchacho
[6/15/24, 5:41:10 PM] Yara: Pero ni siquiera me dijo porqué
‎[6/15/24, 5:41:18 PM] Yara: ‎sticker omitted
[6/15/24, 5:41:23 PM] Yara: Nembre
[6/15/24, 5:43:07 PM] Ismael: no yarilin no
[6/15/24, 5:43:13 PM] Ismael: que raro yarilin
[6/15/24, 5:43:18 PM] Ismael: pero no fuera yo
[6/15/24, 5:43:22 PM] Ismael: porque no me haces caso
[6/15/24, 5:43:23 PM] Ismael: ash
‎[6/15/24, 5:43:44 PM] Yara: ‎sticker omitted
[6/15/24, 5:43:54 PM] Yara: No te conozco mi vida
[6/15/24, 5:43:57 PM] Yara: Quién eres
[6/15/24, 5:45:34 PM] Ismael: Ok
[6/15/24, 7:15:32 PM] Ismael: oyis
[6/15/24, 7:15:37 PM] Ismael: al final iré con mi abuela
[6/15/24, 7:15:40 PM] Ismael: y regresaré noche
[6/15/24, 7:15:45 PM] Ismael: llamadita en la noche?
[6/15/24, 7:24:00 PM] Yara: Chi
[6/15/24, 7:24:01 PM] Yara: Obvioooo
‎[6/15/24, 7:28:24 PM] Yara: ‎sticker omitted
[6/15/24, 7:28:44 PM] Ismael: muy bien
[6/15/24, 7:28:47 PM] Ismael: mira mi abuelita
‎[6/15/24, 7:28:56 PM] Ismael: ‎image omitted
‎[6/15/24, 7:32:31 PM] Ismael: ‎sticker omitted
[6/15/24, 7:34:52 PM] Yara: Ayyyy ismaelin que tiene?
‎[6/15/24, 7:34:53 PM] Yara: ‎sticker omitted
[6/15/24, 7:34:57 PM] Yara: Que bonita su florecita
[6/15/24, 7:35:11 PM] Ismael: no me escuchas
[6/15/24, 7:35:16 PM] Ismael: en la mañana te dije
[6/15/24, 7:35:19 PM] Ismael: adiós
[6/15/24, 7:36:11 PM] Ismael: ya no te voy a contestar rápido
[6/15/24, 7:36:18 PM] Ismael: yo te contesto muuuyrapido
[6/15/24, 7:36:20 PM] Ismael: tú no
[6/15/24, 7:36:22 PM] Ismael: me desesperas
[6/15/24, 7:36:22 PM] Yara: Perdóname
[6/15/24, 7:36:28 PM] Ismael: nonono
‎[6/15/24, 7:36:29 PM] Yara: ‎sticker omitted
[6/15/24, 7:36:33 PM] Yara: Perdón
[6/15/24, 7:36:52 PM] Yara: Perdón por desesperarte
‎[6/15/24, 7:37:03 PM] Ismael: ‎sticker omitted
[6/15/24, 7:37:18 PM] Yara: Perdón por no acordarme de muchas cosas
[6/15/24, 7:37:37 PM] Ismael: que
[6/15/24, 7:38:25 PM] Yara: .
[6/15/24, 7:38:38 PM] Ismael: teeee dijeeeeee
[6/15/24, 7:38:39 PM] Yara: Dios
[6/15/24, 7:38:44 PM] Ismael: que de la rodilaaaaaaaa
[6/15/24, 7:38:49 PM] Ismael: RODILLA
[6/15/24, 7:38:54 PM] Ismael: porque a ti también te dolía
[6/15/24, 7:38:56 PM] Ismael: ash
[6/15/24, 7:38:57 PM] Ismael: ash
[6/15/24, 7:38:57 PM] Ismael: ash
[6/15/24, 7:39:03 PM] Yara: Perdón
[6/15/24, 7:39:13 PM] Ismael: no pasa nada
[6/15/24, 7:39:18 PM] Ismael: ya me estoy acostumbrando
‎[6/15/24, 7:39:21 PM] Ismael: ‎sticker omitted
[6/15/24, 7:39:50 PM] Yara: Bueno isma
[6/15/24, 7:43:06 PM] Ismael: Te amo
[6/15/24, 7:50:39 PM] Ismael: Mua
[6/15/24, 7:53:14 PM] Ismael: No yara, yo mas
[6/15/24, 7:53:21 PM] Ismael: nooooo tontita
[6/15/24, 7:53:25 PM] Ismael: que yo más
[6/15/24, 7:53:26 PM] Ismael: mua
[6/15/24, 8:04:33 PM] Yara: Si
[6/15/24, 8:04:38 PM] Yara: También te amo
[6/15/24, 8:04:47 PM] Yara: Aunque estas de que bien mal de la cabecita
‎[6/15/24, 8:04:53 PM] Yara: ‎sticker omitted
[6/15/24, 8:04:55 PM] Ismael: mmmmmm
[6/15/24, 8:05:03 PM] Ismael: voy a pensar que no contestas por estar en la junta
[6/15/24, 8:05:10 PM] Yara: Pero no te preocupues
[6/15/24, 8:05:12 PM] Yara: Asi me gustas
‎[6/15/24, 8:05:17 PM] Yara: ‎sticker omitted
[6/15/24, 8:05:26 PM] Yara: Sigue pensando mi vida
[6/15/24, 8:05:32 PM] Ismael: okey
[6/15/24, 8:05:35 PM] Ismael: que haces
[6/15/24, 8:05:40 PM] Yara: Cenando
[6/15/24, 8:05:48 PM] Ismael: Ok
[6/15/24, 8:05:54 PM] Yara: Tu que estás haciendo
[6/15/24, 8:06:18 PM] Ismael: me vine a cenar
[6/15/24, 8:06:30 PM] Ismael: y luego voy con mi abuela otra vez
[6/15/24, 8:06:44 PM] Yara: Muy bien ismaelin
[6/15/24, 8:07:52 PM] Ismael: pero por qué no me contestas
[6/15/24, 8:07:55 PM] Ismael: se te olvida?
[6/15/24, 8:08:16 PM] Yara: No
[6/15/24, 8:08:24 PM] Yara: No se
[6/15/24, 8:08:26 PM] Yara: No miro
‎[6/15/24, 8:08:36 PM] Yara: ‎sticker omitted
[6/15/24, 8:10:07 PM] Ismael: muy mal
[6/15/24, 8:10:14 PM] Ismael: yo te contesto hasta cruzando la calle
[6/15/24, 8:10:18 PM] Ismael: pero tú
[6/15/24, 8:10:20 PM] Ismael: no miras
[6/15/24, 8:10:22 PM] Ismael: está bien
[6/15/24, 8:10:48 PM] Yara: Es que la pequeñita diferencia es que yo lo pongo en no molestar
[6/15/24, 8:10:57 PM] Ismael: Peor
[6/15/24, 8:11:15 PM] Ismael: Nembre
‎[6/15/24, 8:11:20 PM] Ismael: ‎image omitted
[6/15/24, 8:11:58 PM] Yara: Te amo mi amor
[6/15/24, 8:11:59 PM] Yara: Mucho
[6/15/24, 8:12:34 PM] Ismael: yo también mi vidota
[6/15/24, 8:12:36 PM] Ismael: mucho
‎[6/15/24, 8:13:23 PM] Yara: ‎image omitted
[6/15/24, 8:18:50 PM] Ismael: no puedo dejar de pensar en que te puso mua y tú le pusiste este sticker
‎[6/15/24, 8:18:54 PM] Ismael: ‎sticker omitted
[6/15/24, 8:18:57 PM] Ismael: imagínate
[6/15/24, 8:18:59 PM] Ismael: Nembre
[6/15/24, 8:19:57 PM] Ismael: si eso no es seguirle el rollo no se que es
[6/15/24, 8:19:59 PM] Ismael: ash
[6/15/24, 8:20:01 PM] Ismael: ya me enojé
[6/15/24, 8:21:47 PM] Yara: Ismaelin
[6/15/24, 8:21:58 PM] Yara: Y yo para que quiero seguirle el rollo
‎[6/15/24, 8:22:02 PM] Yara: ‎sticker omitted
[6/15/24, 8:22:59 PM] Yara: Explicameeeeeeee
[6/15/24, 8:23:48 PM] Ismael: no se
[6/15/24, 8:23:54 PM] Ismael: apenas tú sabes porque le pones eso
[6/15/24, 8:25:43 PM] Yara: Yo?
[6/15/24, 8:25:51 PM] Yara: Por no ser grosera
[6/15/24, 8:26:00 PM] Yara: Pero a mí que me importa el
‎[6/15/24, 8:26:04 PM] Yara: ‎sticker omitted
[6/15/24, 8:48:18 PM] Yara: Holi
[6/15/24, 8:48:24 PM] Yara: Que paso
[6/15/24, 9:14:37 PM] Ismael: nada
[6/15/24, 9:14:41 PM] Ismael: pirdon
[6/15/24, 9:27:39 PM] Ismael: ya llegué a mi casa
[6/15/24, 9:27:45 PM] Ismael: por si quieres hacer llamada
[6/16/24, 3:48:27 PM] Ismael: holi
[6/16/24, 3:48:32 PM] Ismael: que bonito me has procurado hoy
[6/16/24, 3:48:35 PM] Ismael: ya me quedé pelón
‎[6/16/24, 3:48:41 PM] Ismael: ‎sticker omitted
[6/16/24, 3:48:48 PM] Ismael: Así
[6/16/24, 3:53:42 PM] Yara: Pues si tuuu
[6/16/24, 3:53:47 PM] Yara: Ash
‎[6/16/24, 3:53:55 PM] Yara: ‎sticker omitted
[6/16/24, 3:53:59 PM] Yara: O dios mio
[6/16/24, 3:54:09 PM] Yara: A ver
[6/16/24, 3:54:14 PM] Yara: JAJAJA
[6/16/24, 3:54:19 PM] Yara: Igualitos
[6/16/24, 4:07:56 PM] Ismael: después
[6/16/24, 4:08:01 PM] Ismael: soy ese yarilin
[6/16/24, 4:08:20 PM] Ismael: es que si no te hablo yo tú a mí no me hablas yarilin
[6/16/24, 4:08:24 PM] Ismael: muy mal
[6/16/24, 4:14:11 PM] Yara: Meeeh
[6/16/24, 4:14:22 PM] Yara: Asi me gustan a mi
[6/16/24, 4:14:39 PM] Yara: Asi digo yo
‎[6/16/24, 4:14:51 PM] Yara: ‎sticker omitted
[6/16/24, 4:15:09 PM] Yara: Creo que acabo de ver al barrientos en el yokoi
[6/16/24, 4:28:07 PM] Yara: No me contestes pues
[6/16/24, 4:31:10 PM] Ismael: me estaba probando ropa
[6/16/24, 4:31:21 PM] Ismael: no yarilin
[6/16/24, 4:31:25 PM] Ismael: checa los chats
[6/16/24, 4:31:32 PM] Ismael: yo siempre te hablo a ti primero
‎[6/16/24, 4:31:37 PM] Ismael: ‎sticker omitted
[6/16/24, 4:34:09 PM] Yara: A ver
‎[6/16/24, 4:34:11 PM] Yara: ‎sticker omitted
[6/16/24, 4:34:29 PM] Yara: No es solo
[6/16/24, 4:34:32 PM] Yara: Cierto
‎[6/16/24, 4:34:39 PM] Yara: ‎sticker omitted
[6/16/24, 4:34:42 PM] Yara: O
[6/16/24, 4:34:43 PM] Yara: K
[6/16/24, 4:34:49 PM] Yara: Yo también te amo
[6/16/24, 4:43:40 PM] Ismael: no tome foto yarilin
[6/16/24, 4:43:48 PM] Ismael: Oki
[6/16/24, 4:43:59 PM] Ismael: pues yo más yarilin
[6/16/24, 4:44:05 PM] Ismael: se siente raro estar pelón
‎[6/16/24, 4:44:44 PM] Yara: ‎sticker omitted
[6/16/24, 4:44:55 PM] Yara: Ok
[6/16/24, 4:45:02 PM] Yara: Yo quiero verteeeeeeeee
‎[6/16/24, 4:45:06 PM] Yara: ‎sticker omitted
[6/16/24, 4:54:12 PM] Ismael: no yarilin no
[6/16/24, 4:54:17 PM] Ismael: ya que llegue a guamuchi
[6/16/24, 4:54:20 PM] Ismael: L
[6/16/24, 5:01:14 PM] Yara: Y cuando llegas o que
‎[6/16/24, 5:01:15 PM] Yara: ‎sticker omitted
‎[6/16/24, 5:01:19 PM] Yara: ‎sticker omitted
[6/16/24, 5:01:37 PM] Ismael: no se
[6/16/24, 5:01:39 PM] Ismael: aquí ando
[6/16/24, 5:01:40 PM] Ismael: mira
‎[6/16/24, 5:01:44 PM] Yara: ‎sticker omitted
‎[6/16/24, 5:01:48 PM] Ismael: ‎image omitted
[6/16/24, 5:01:55 PM] Yara: EL PELITOOOOOOO
[6/16/24, 5:01:58 PM] Yara: Ayyyyy
‎[6/16/24, 5:02:05 PM] Yara: ‎sticker omitted
[6/16/24, 5:02:29 PM] Yara: Que bonito ismaelin pelón
[6/16/24, 5:02:39 PM] Yara: Pelón pelón
[6/16/24, 5:02:46 PM] Ismael: ok
[6/16/24, 5:03:40 PM] Yara: Te amo mi amor
‎[6/16/24, 5:03:42 PM] Yara: ‎sticker omitted
‎[6/16/24, 5:12:06 PM] Ismael: ‎image omitted
‎[6/16/24, 5:12:10 PM] Ismael: ‎sticker omitted
[6/16/24, 5:12:41 PM] Ismael: yo más yarilin
[6/16/24, 5:17:47 PM] Yara: AAAAYYYYY
‎[6/16/24, 5:17:52 PM] Yara: ‎sticker omitted
[6/16/24, 5:17:59 PM] Yara: Que lindo ismaelin
[6/16/24, 5:18:08 PM] Yara: Pelooooooon
[6/16/24, 5:18:17 PM] Yara: Pero asi me gustan
[6/16/24, 5:18:24 PM] Yara: Como tu
‎[6/16/24, 5:18:29 PM] Yara: ‎sticker omitted
‎[6/16/24, 5:18:48 PM] Yara: ‎sticker omitted
[6/16/24, 5:20:41 PM] Yara: Ismaelin
[6/16/24, 5:20:47 PM] Yara: Me mandas la foto otra vez?
[6/16/24, 5:21:11 PM] Ismael: yo más mi vida hermosa
[6/16/24, 5:21:16 PM] Ismael: mmmmnnnfjgk
[6/16/24, 5:21:20 PM] Ismael: para que yarilin
[6/16/24, 5:23:12 PM] Yara: Obligado como SIEMPRE
[6/16/24, 5:23:20 PM] Yara: Pues quiero verla
‎[6/16/24, 5:24:25 PM] Ismael: ‎image omitted
[6/16/24, 5:24:36 PM] Ismael: que no
[6/16/24, 5:24:41 PM] Ismael: me sobran cosas bonitas para decirte
[6/16/24, 5:24:42 PM] Ismael: tonta
‎[6/16/24, 5:24:47 PM] Ismael: ‎sticker omitted
[6/16/24, 5:25:42 PM] Yara: Chiii
[6/16/24, 5:25:47 PM] Yara: Gracias mi vida
‎[6/16/24, 5:25:49 PM] Yara: ‎sticker omitted
‎[6/16/24, 5:26:01 PM] Yara: ‎sticker omitted
‎[6/16/24, 5:58:26 PM] Ismael: ‎image omitted
‎[6/16/24, 5:59:37 PM] Yara: ‎sticker omitted
[6/16/24, 5:59:38 PM] Yara: No por favor
[6/16/24, 5:59:45 PM] Yara: Que cafecitos
[6/16/24, 7:41:39 PM] Ismael: se nota eh
[6/16/24, 7:45:37 PM] Yara: Pero el que no me contestó fuiste tuuuu
‎[6/16/24, 7:45:49 PM] Yara: ‎sticker omitted
[6/16/24, 7:46:12 PM] Ismael: cállese
[6/16/24, 7:52:48 PM] Yara: Te amo
‎[6/16/24, 7:52:49 PM] Yara: ‎sticker omitted
[6/16/24, 7:59:00 PM] Ismael: yo más mi vida
‎[6/16/24, 7:59:03 PM] Ismael: ‎sticker omitted
[6/16/24, 8:31:01 PM] Yara: Y ese
[6/16/24, 8:31:41 PM] Ismael: ya tenía lista la captura
‎[6/16/24, 8:31:57 PM] Ismael: ‎image omitted
‎[6/16/24, 8:32:20 PM] Ismael: ‎sticker omitted
[6/16/24, 8:38:44 PM] Yara: De seguro es de amayrani o como se escriba
‎[6/16/24, 8:38:47 PM] Yara: ‎sticker omitted
‎[6/16/24, 9:08:44 PM] Ismael: ‎image omitted
[6/16/24, 9:08:48 PM] Ismael: 🤡
[6/16/24, 9:09:11 PM] Ismael: ese no era
[6/16/24, 9:09:13 PM] Ismael: era este
[6/16/24, 9:09:17 PM] Ismael: 🤪
[6/16/24, 9:09:32 PM] Yara: AYYYYYYYYYYYYYYYY
[6/16/24, 9:09:49 PM] Yara: que bonitoooo JAJAJAJ
‎[6/16/24, 9:09:49 PM] Yara: ‎sticker omitted
[6/16/24, 9:10:05 PM] Yara: Como si fueras niño bueno
[6/16/24, 9:10:08 PM] Yara: Ayyyyyyyyy
[6/16/24, 9:17:14 PM] Ismael: ps si soy yarilin que te pasa
‎[6/16/24, 9:17:16 PM] Ismael: ‎sticker omitted
